Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos_total
2018,3,Santa Fe,63.41,253.85
2018,3,Santiago Del Estero,36.25,143.9
2018,3,Tierra Del Fuego,92.77,343.17
2018,3,Tucumán,41.68,166.13
2018,2,Buenos Aires,62.78,254.45
2018,2,Capital Federal,106.53,429.49
2018,2,Catamarca,32.86,130.8
2018,2,Chaco,31.25,126.95
2018,2,Chubut,54.9,207.62
2018,2,Córdoba,63.27,256.12
2018,2,Corrientes,33.81,135.29
2018,2,Entre Ríos,49.2,202.47
2018,2,Formosa,29.43,110.14999999999999
2018,2,Jujuy,23.43,116.34
2018,2,La Pampa,71.04,288.03
2018,2,La Rioja,50.98,203.5
2018,2,Mendoza,36.97,149.79
2018,2,Misiones,31.63,129.14000000000001
2018,2,Neuquén,60.24,241.32
2018,2,Río Negro,50.15,202.37
2018,2,Salta,39.94,158.95
2018,2,San Juan,32.95,130.51
2018,2,San Luis,15.15,150.2
2018,2,Santa Cruz,33.33,123.29999999999998
2018,2,Santa Fe,62.57,253.85
2018,2,Santiago Del Estero,35.26,143.9
2018,2,Tierra Del Fuego,91.61,343.17
2018,2,Tucumán,41.51,166.13
2018,1,Buenos Aires,62.63,254.45
2018,1,Capital Federal,106.24,429.49
2018,1,Catamarca,32.79,130.8
2018,1,Chaco,30.83,126.95
2018,1,Chubut,53.72,207.62
2018,1,Córdoba,63.52,256.12
2018,1,Corrientes,32.66,135.29
2018,1,Entre Ríos,48.68,202.47
2018,1,Formosa,21.4,110.14999999999999
2018,1,Jujuy,23.12,116.34
2018,1,La Pampa,71.75,288.03
2018,1,La Rioja,51.44,203.5
2018,1,Mendoza,37.07,149.79
2018,1,Misiones,30.96,129.14000000000001
2018,1,Neuquén,61.52,241.32
2018,1,Río Negro,49.82,202.37
2018,1,Salta,39.78,158.95
2018,1,San Juan,32.61,130.51
2018,1,San Luis,15.15,150.2
2018,1,Santa Cruz,33.55,123.29999999999998
2018,1,Santa Fe,62.28,253.85
2018,1,Santiago Del Estero,34.99,143.9
2018,1,Tierra Del Fuego,65.2,343.17
2018,1,Tucumán,41.18,166.13
2017,4,Buenos Aires,57.61,228.08
2017,4,Capital Federal,122.9,477.19
2017,4,Catamarca,28.62,112.75
2017,4,Chaco,30.81,118.46000000000001
2017,4,Chubut,51.46,168.89
2017,4,Córdoba,63.33,242.26
2017,4,Corrientes,32.52,127.02000000000001
2017,4,Entre Ríos,47.89,184.15
2017,4,Formosa,21.27,82.43
2017,4,Jujuy,22.74,90.55
2017,4,La Pampa,71.05,266.35
2017,4,La Rioja,51.57,135.44
2017,4,Mendoza,33.33,132.63
2017,4,Misiones,31.14,120.96000000000001
2017,4,Neuquén,61.24,245.0
2017,4,Río Negro,49.38,189.95000000000002
2017,4,Salta,39.8,144.96
2017,4,San Juan,30.3,116.66999999999999
2017,4,San Luis,10.59,45.13
2017,4,Santa Cruz,28.91,114.97
2017,4,Santa Fe,61.71,226.86
2017,4,Santiago Del Estero,29.13,93.07
2017,4,Tierra Del Fuego,59.89,263.01
2017,4,Tucumán,39.9,155.69
2017,3,Buenos Aires,55.63,228.08
2017,3,Capital Federal,121.86,477.19
2017,3,Catamarca,32.49,112.75
2017,3,Chaco,29.98,118.46000000000001
2017,3,Chubut,46.22,168.89
2017,3,Córdoba,62.31,242.26
2017,3,Corrientes,32.17,127.02000000000001
2017,3,Entre Ríos,45.96,184.15
2017,3,Formosa,21.35,82.43
2017,3,Jujuy,22.65,90.55
2017,3,La Pampa,69.14,266.35
2017,3,La Rioja,51.47,135.44
2017,3,Mendoza,35.7,132.63
2017,3,Misiones,30.21,120.96000000000001
2017,3,Neuquén,60.83,245.0
2017,3,Río Negro,48.52,189.95000000000002
2017,3,Salta,39.84,144.96
2017,3,San Juan,32.37,116.66999999999999
2017,3,San Luis,15.48,45.13
2017,3,Santa Cruz,33.29,114.97
2017,3,Santa Fe,60.91,226.86
2017,3,Santiago Del Estero,35.12,93.07
2017,3,Tierra Del Fuego,65.74,263.01
2017,3,Tucumán,39.7,155.69
2017,2,Buenos Aires,56.27,228.08
2017,2,Capital Federal,124.06,477.19
2017,2,Catamarca,25.98,112.75
2017,2,Chaco,29.05,118.46000000000001
2017,2,Chubut,35.55,168.89
2017,2,Córdoba,58.97,242.26
2017,2,Corrientes,31.39,127.02000000000001
2017,2,Entre Ríos,45.39,184.15
2017,2,Formosa,19.97,82.43
2017,2,Jujuy,22.4,90.55
2017,2,La Pampa,63.49,266.35
2017,2,La Rioja,16.2,135.44
2017,2,Mendoza,31.76,132.63
2017,2,Misiones,30.09,120.96000000000001
2017,2,Neuquén,61.91,245.0
2017,2,Río Negro,46.02,189.95000000000002
2017,2,Salta,32.74,144.96
2017,2,San Juan,26.96,116.66999999999999
2017,2,San Luis,9.51,45.13
2017,2,Santa Cruz,26.25,114.97
2017,2,Santa Fe,52.27,226.86
2017,2,Santiago Del Estero,14.12,93.07
2017,2,Tierra Del Fuego,68.46,263.01
2017,2,Tucumán,38.19,155.69
2017,1,Buenos Aires,58.57,228.08
2017,1,Capital Federal,108.37,477.19
2017,1,Catamarca,25.66,112.75
2017,1,Chaco,28.62,118.46000000000001
2017,1,Chubut,35.66,168.89
2017,1,Córdoba,57.65,242.26
2017,1,Corrientes,30.94,127.02000000000001
2017,1,Entre Ríos,44.91,184.15
2017,1,Formosa,19.84,82.43
2017,1,Jujuy,22.76,90.55
2017,1,La Pampa,62.67,266.35
2017,1,La Rioja,16.2,135.44
2017,1,Mendoza,31.84,132.63
2017,1,Misiones,29.52,120.96000000000001
2017,1,Neuquén,61.02,245.0
2017,1,Río Negro,46.03,189.95000000000002
2017,1,Salta,32.58,144.96
2017,1,San Juan,27.04,116.66999999999999
2017,1,San Luis,9.55,45.13
2017,1,Santa Cruz,26.52,114.97
2017,1,Santa Fe,51.97,226.86
2017,1,Santiago Del Estero,14.7,93.07
2017,1,Tierra Del Fuego,68.92,263.01
2017,1,Tucumán,37.9,155.69
2016,4,Buenos Aires,61.24,238.06
2016,4,Capital Federal,120.63,476.6
2016,4,Catamarca,26.54,105.0
2016,4,Chaco,28.79,114.37
2016,4,Chubut,36.07,144.46
2016,4,Córdoba,57.7,228.77
2016,4,Corrientes,30.98,122.71
2016,4,Entre Ríos,45.21,179.24
2016,4,Formosa,19.85,76.9
2016,4,Jujuy,22.65,88.56
2016,4,La Pampa,63.02,243.03
2016,4,La Rioja,16.46,67.24
2016,4,Mendoza,32.11,128.45
2016,4,Misiones,29.72,117.24
2016,4,Neuquén,60.87,235.93
2016,4,Río Negro,46.39,184.86
2016,4,Salta,32.69,129.05
2016,4,San Juan,27.29,109.28
2016,4,San Luis,9.64,38.46
2016,4,Santa Cruz,27.05,107.49000000000001
2016,4,Santa Fe,52.19,208.57999999999998
2016,4,Santiago Del Estero,15.07,62.5
2016,4,Tierra Del Fuego,70.31,272.8
2016,4,Tucumán,37.98,149.84
2016,3,Buenos Aires,60.14,238.06
2016,3,Capital Federal,120.77,476.6
2016,3,Catamarca,26.48,105.0
2016,3,Chaco,28.91,114.37
2016,3,Chubut,36.18,144.46
2016,3,Córdoba,58.24,228.77
2016,3,Corrientes,31.07,122.71
2016,3,Entre Ríos,45.44,179.24
2016,3,Formosa,18.64,76.9
2016,3,Jujuy,22.61,88.56
2016,3,La Pampa,61.73,243.03
2016,3,La Rioja,17.07,67.24
2016,3,Mendoza,32.09,128.45
2016,3,Misiones,29.91,117.24
2016,3,Neuquén,60.21,235.93
2016,3,Río Negro,46.39,184.86
2016,3,Salta,32.96,129.05
2016,3,San Juan,27.32,109.28
