Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Banda ancha fija (M),Dial up (M),Total (M)
2020,3,Capital Federal,1371285,1390,1372675,1.371285,0.00139,1.372675
2020,3,Catamarca,49903,1,49904,0.049903,1e-06,0.049904
2020,3,Chaco,133951,3,133954,0.133951,3e-06,0.133954
2020,3,Chubut,129202,825,130027,0.129202,0.000825,0.130027
2020,3,Córdoba,867417,55,867472,0.867417,5.5e-05,0.867472
2020,3,Corrientes,123388,3,123391,0.123388,3e-06,0.123391
2020,3,Entre Ríos,241482,13,241495,0.241482,1.3e-05,0.241495
2020,3,Formosa,49209,0,49209,0.049209,0.0,0.049209
2020,3,Jujuy,106728,0,106728,0.106728,0.0,0.106728
2020,3,La Pampa,93619,116,93735,0.093619,0.000116,0.093735
2020,3,La Rioja,52613,3,52616,0.052613,3e-06,0.052616
2020,3,Mendoza,207173,615,207788,0.207173,0.000615,0.207788
2020,3,Misiones,143186,0,143186,0.143186,0.0,0.143186
2020,3,Neuquén,128862,373,129235,0.128862,0.000373,0.129235
2020,3,Río Negro,130966,501,131467,0.130966,0.000501,0.131467
2020,3,Salta,180844,2,180846,0.180844,2e-06,0.180846
2020,3,San Juan,77071,256,77327,0.077071,0.000256,0.077327
2020,3,San Luis,116417,148,116565,0.116417,0.000148,0.116565
2020,3,Santa Cruz,39084,197,39281,0.039084,0.000197,0.039281
2020,3,Santa Fe,802861,137,802998,0.802861,0.000137,0.802998
2020,3,Santiago Del Estero,105491,1,105492,0.105491,1e-06,0.105492
2020,3,Tierra Del Fuego,39366,289,39655,0.039366,0.000289,0.039655
2020,3,Tucumán,223854,22,223876,0.223854,2.2e-05,0.223876
2020,2,Buenos Aires,3772480,5066,3777546,3.77248,0.005066,3.777546
2020,2,Capital Federal,1356431,1390,1357821,1.356431,0.00139,1.357821
2020,2,Catamarca,47975,1,47976,0.047975,1e-06,0.047976
2020,2,Chaco,128129,3,128132,0.128129,3e-06,0.128132
2020,2,Chubut,107831,825,108656,0.107831,0.000825,0.108656
2020,2,Córdoba,836413,55,836468,0.836413,5.5e-05,0.836468
2020,2,Corrientes,118863,3,118866,0.118863,3e-06,0.118866
2020,2,Entre Ríos,234100,13,234113,0.2341,1.3e-05,0.234113
2020,2,Formosa,47932,0,47932,0.047932,0.0,0.047932
2020,2,Jujuy,94316,0,94316,0.094316,0.0,0.094316
2020,2,La Pampa,89693,116,89809,0.089693,0.000116,0.089809
2020,2,La Rioja,52152,3,52155,0.052152,3e-06,0.052155
2020,2,Mendoza,200569,615,201184,0.200569,0.000615,0.201184
2020,2,Misiones,140340,0,140340,0.14034,0.0,0.14034
2020,2,Neuquén,125799,373,126172,0.125799,0.000373,0.126172
2020,2,Río Negro,128985,501,129486,0.128985,0.000501,0.129486
2020,2,Salta,177760,2,177762,0.17776,2e-06,0.177762
2020,2,San Juan,69521,256,69777,0.069521,0.000256,0.069777
2020,2,San Luis,113804,148,113952,0.113804,0.000148,0.113952
2020,2,Santa Cruz,38672,197,38869,0.038672,0.000197,0.038869
2020,2,Santa Fe,777795,137,777932,0.777795,0.000137,0.777932
2020,2,Santiago Del Estero,105446,1,105447,0.105446,1e-06,0.105447
2020,2,Tierra Del Fuego,38900,289,39189,0.0389,0.000289,0.039189
2020,2,Tucumán,217134,22,217156,0.217134,2.2e-05,0.217156
2020,1,Buenos Aires,3702985,5066,3708051,3.702985,0.005066,3.708051
2020,1,Capital Federal,1352104,1390,1353494,1.352104,0.00139,1.353494
2020,1,Catamarca,39634,1,39635,0.039634,1e-06,0.039635
2020,1,Chaco,120274,3,120277,0.120274,3e-06,0.120277
2020,1,Chubut,95938,800,96738,0.095938,0.0008,0.096738
2020,1,Córdoba,811044,55,811099,0.811044,5.5e-05,0.811099
2020,1,Corrientes,113967,3,113970,0.113967,3e-06,0.11397
2020,1,Entre Ríos,231833,13,231846,0.231833,1.3e-05,0.231846
2020,1,Formosa,46434,0,46434,0.046434,0.0,0.046434
2020,1,Jujuy,91665,0,91665,0.091665,0.0,0.091665
2020,1,La Pampa,89110,116,89226,0.08911,0.000116,0.089226
2020,1,La Rioja,48337,3,48340,0.048337,3e-06,0.04834
2020,1,Mendoza,182837,615,183452,0.182837,0.000615,0.183452
2020,1,Misiones,133552,0,133552,0.133552,0.0,0.133552
2020,1,Neuquén,121354,373,121727,0.121354,0.000373,0.121727
2020,1,Río Negro,125699,501,126200,0.125699,0.000501,0.1262
2020,1,Salta,170379,2,170381,0.170379,2e-06,0.170381
2020,1,San Juan,63975,256,64231,0.063975,0.000256,0.064231
2020,1,San Luis,110404,148,110552,0.110404,0.000148,0.110552
2020,1,Santa Cruz,38625,197,38822,0.038625,0.000197,0.038822
2020,1,Santa Fe,770981,137,771118,0.770981,0.000137,0.771118
2020,1,Santiago Del Estero,102754,1,102755,0.102754,1e-06,0.102755
2020,1,Tierra Del Fuego,38505,289,38794,0.038505,0.000289,0.038794
2020,1,Tucumán,200045,22,200067,0.200045,2.2e-05,0.200067
2019,4,Buenos Aires,3681120,5134,3686254,3.68112,0.005134,3.686254
2019,4,Capital Federal,1356695,1410,1358105,1.356695,0.00141,1.358105
2019,4,Catamarca,38310,1,38311,0.03831,1e-06,0.038311
2019,4,Chaco,117900,3,117903,0.1179,3e-06,0.117903
2019,4,Chubut,95292,810,96102,0.095292,0.00081,0.096102
2019,4,Córdoba,806633,55,806688,0.806633,5.5e-05,0.806688
2019,4,Corrientes,113831,3,113834,0.113831,3e-06,0.113834
2019,4,Entre Ríos,239017,13,239030,0.239017,1.3e-05,0.23903
2019,4,Formosa,46711,0,46711,0.046711,0.0,0.046711
2019,4,Jujuy,88881,0,88881,0.088881,0.0,0.088881
2019,4,La Pampa,90280,119,90399,0.09028,0.000119,0.090399
2019,4,La Rioja,48999,3,49002,0.048999,3e-06,0.049002
2019,4,Mendoza,185157,623,185780,0.185157,0.000623,0.18578
2019,4,Misiones,135813,0,135813,0.135813,0.0,0.135813
2019,4,Neuquén,116069,376,116445,0.116069,0.000376,0.116445
2019,4,Río Negro,126636,504,127140,0.126636,0.000504,0.12714
2019,4,Salta,172443,2,172445,0.172443,2e-06,0.172445
2019,4,San Juan,64715,259,64974,0.064715,0.000259,0.064974
2019,4,San Luis,108053,148,108201,0.108053,0.000148,0.108201
2019,4,Santa Cruz,39170,200,39370,0.03917,0.0002,0.03937
2019,4,Santa Fe,769019,150,769169,0.769019,0.00015,0.769169
